user,index_col,location,tweet,Date,Tweet Coordinates
HappaNarinder,72,"Jammu,J&K (India)",abpnews चन क हव नकलन वल यदधभयस malabar यदधभयस क दसर चरण जरakhileshanandd httpstcobkax0zfskuchina,2020-11-18 04:51:36,
Lokaantar,73,"Lalitpur, Nepal",हनद महसगरम मलबर सनय अभयस शर चन सतरक httpstcosskre74vtk,2020-11-18 05:07:01,
saurabh49,74,"New Delhi, India",aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-18 05:49:33,
Jansatta,75,New Delhi,मलबर यदधभयस क दसर चरण शर ins वकरमदतय और us क uss nimitz करग अभयसhttpstcowhhze4rirn httpstco2gdawd6ff8,2020-11-18 06:34:22,
KunalRana_,76,Aligarh UP,चइन न बहत शकत परदरशन कर लय अब दसर क बर क वह चइन क दखए क दनय क पस भ तकत ह क वह httpstcopgj2l3u5km,2020-11-18 06:48:00,
tnworldofficial,77,India,quad क मलबर यदधभयस क दसर चरण शर पहल चरण स घबर गय थ चन और अब पकसतन क बर httpstcovltxefi1bz,2020-11-18 06:53:40,
_Abhishek_Only,78,Mumbai,चइन क अब उस क तरक क सवद मल रह ह जस वह दकषण चन सगर म मलटर ऑपरशन कर रह ह अब भरतय मह httpstcoekyeahjwtq,2020-11-18 07:00:13,
_Abhishek_Only,79,Mumbai,चइन क अब उस क तरक क सवद मल रह ह जस वह दकषण चन सगर म मलटर ऑपरशन कर रह ह अब भरतय मह httpstcoekyeahjwtq,2020-11-18 07:00:13,
_Abhishek_Only,80,Mumbai,चइन क अब उस क तरक क सवद मल रह ह जस वह दकषण चन सगर म मलटर ऑपरशन कर रह ह अब भरतय मह httpstcoekyeahjwtq,2020-11-18 07:00:13,
Goswami92shivam,81,"Gwalior, India",चतरभज सरकष सवदकयएसड जस कवड क रप म भ जन जत हसयकत रजय अमरक जपन ऑसटरलय httpstcowsyy8ey7rp,2020-11-18 07:03:52,
Goswami92shivam,82,"Gwalior, India",चतरभज सरकष सवदकयएसड जस कवड क रप म भ जन जत हसयकत रजय अमरक जपन ऑसटरलय httpstcowsyy8ey7rp,2020-11-18 07:03:52,
Goswami92shivam,83,"Gwalior, India",चतरभज सरकष सवदकयएसड जस कवड क रप म भ जन जत हसयकत रजय अमरक जपन ऑसटरलय httpstcowsyy8ey7rp,2020-11-18 07:03:52,
Goswami92shivam,84,"Gwalior, India",चतरभज सरकष सवदकयएसड जस कवड क रप म भ जन जत हसयकत रजय अमरक जपन ऑसटरलय httpstcowsyy8ey7rp,2020-11-18 07:03:52,
Shubham18947954,85,,aajtak भरत अमरक जपन और ऑसटरलय क नसन क हद महसगर म यदधभयस क दसर चरण शर ह गय हhttpstcoyyigltxn,2020-11-18 07:04:38,
aajtak,86,India,इस यदधभयस म दश म ह बन पनडबबय खडर और प 8 आई भ अपन कषमत क परचय दगmalabar2020 video httpstcot9zjbpwkzz,2020-11-18 07:28:35,
muslimsof_india,87,,aajtak इस यदधभयस म दश म ह बन पनडबबय खडर और प 8 आई भ अपन कषमत क परचय दगmalabar2020 video httpstco,2020-11-18 07:29:18,
jaswant96720,88,"Rajasthan, India",aajtak इस यदधभयस म दश म ह बन पनडबबय खडर और प 8 आई भ अपन कषमत क परचय दगmalabar2020 video httpstco,2020-11-18 07:30:56,
keyurbjp,89,,aajtak इस यदधभयस म दश म ह बन पनडबबय खडर और प 8 आई भ अपन कषमत क परचय दगmalabar2020 video httpstco,2020-11-18 07:33:05,
SushobhanBhatt,90,"Nandakumar, India",aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-18 08:01:28,
NJAANAARAA1,91,Valhalla,shihab_t_asharf _afivocals_ ellavareyum allallo kammi kunje paranjat malabar lahalaye base cheyth paranjat alle stalin kunje,2020-11-18 08:45:32,
sandipanguru1om,92,,kumarnandaj janamtvits priyadarshanamsamskrit fast news debatesvazhvemayam kadhakalinattuvarambu httpstcomrvwtql09w,2020-11-18 12:59:08,
KailashsharmaK5,93,"Sardarshahar, India",aajtak नसन अभयस म भरत क अलव अमरक जपन और ऑसटरलय हसस ल रह हvideo httpstcole5twdknhe,2020-11-18 13:50:06,
oneindiaHindi,94,Bangalore,malabar exercise चन क चतवन हनद महसगर म उतर चर दश क नसनhttpstcoeu2ioqypbpmalabarexercise nationalnews,2020-11-18 14:13:40,
OneindiaVideos,95,Bangalore,malabar exercise चन क चतवन हनद महसगर म उतर चर दश क नसनhttpstco6pxomwkoqmmalabarexercise nationalnews,2020-11-18 14:13:50,
Balkish99059568,96,,tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-18 14:14:36,
Balkish99059568,97,,tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-18 14:14:36,
Balkish99059568,98,,tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-18 14:14:36,
TheLallantop,99,India,उततर अरब सगर यह इन दन चर दश भरत अमरक ऑसटरलय और जपन क नसन क जहज तरत नजर आ रह ह httpstcopjevurm47e,2020-11-18 14:26:06,
Pradeep232106,100,"Varanasi,Uttar Pradesh, India",thelallantop उततर अरब सगर यह इन दन चर दश भरत अमरक ऑसटरलय और जपन क नसन क जहज तरत नजर आ रह ह मल,2020-11-18 14:28:31,
raviprakash366,101,"Hyderabad, India",thelallantop उततर अरब सगर यह इन दन चर दश भरत अमरक ऑसटरलय और जपन क नसन क जहज तरत नजर आ रह ह मल,2020-11-18 14:28:53,
vipinsinghmehta,102,Uttrakhand,thelallantop उततर अरब सगर यह इन दन चर दश भरत अमरक ऑसटरलय और जपन क नसन क जहज तरत नजर आ रह ह मल,2020-11-18 14:29:51,
iamindian64,103,india ,ins vikramaditya malabar 2020 httpstcohjfmkjndmr,2020-11-18 15:55:50,
AnjaliDikshit4,104,Mumbai india ,iamindian64 ins vikramaditya malabar 2020 httpstcohjfmkjndmr,2020-11-18 16:03:30,
AmarUjalaNews,105,India,मलबर नसनय अभयस 2020 सगर क लहर स टकरकर दशमन क सदश द रह य पत दख picsmalabar2020 httpstcoem8ohvrko3,2020-11-18 17:37:53,
vidyasa81830638,106,,amarujalanews मलबर नसनय अभयस 2020 सगर क लहर स टकरकर दशमन क सदश द रह य पत दख picsmalabar2020 indiannavy,2020-11-18 17:38:20,
KiranJat15,107,,amarujalanews मलबर नसनय अभयस 2020 सगर क लहर स टकरकर दशमन क सदश द रह य पत दख picsmalabar2020 indiannavy,2020-11-18 17:40:39,
mahesh_mishraji,108,India,amarujalanews मलबर नसनय अभयस 2020 सगर क लहर स टकरकर दशमन क सदश द रह य पत दख picsmalabar2020 indiannavy,2020-11-18 17:50:01,
sumanta_YB,109,"Mayurbhanj,odisha.",amarujalanews मलबर नसनय अभयस 2020 सगर क लहर स टकरकर दशमन क सदश द रह य पत दख picsmalabar2020 indiannavy,2020-11-18 17:55:02,
bra_brijesh,110,Meerut,tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-19 00:09:56,
bra_brijesh,111,Meerut,tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-19 00:09:56,
bra_brijesh,112,Meerut,tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-19 00:09:56,
Madhurendra13,113,New delhi,malabar यन महवर क लए हनद ह तयरअरबयन स म दखय कवड क य तयरज पडग चन प भरसमदर httpstcor0brev7mfr,2020-11-19 04:36:10,
BholaSi90596150,114,,madhurendra13 malabar यन महवर क लए हनद ह तयरअरबयन स म दखय कवड क य तयरज पडग चन प भरसमदर म,2020-11-19 05:21:01,
navjivanindia,115,"New Delhi, India",indianocean कषतर म चल रह malabarnavalexercise म भरतय नसन क लडक वमन अनय वमन और आईएनएस httpstconovqixxbof,2020-11-19 08:35:28,
IndiaNews_itv,116,Delhi,7 months of indiachina tension quad क तकत स घबरय चन सरहद पर सन क सबस मजबत तयर indianews httpstcojduhrchduo,2020-11-19 09:16:13,
IndiaNews_itv,117,Delhi,7 months of indiachina tension quad क तकत स घबरय चन सरहद पर सन क सबस मजबत तयर indianews httpstcojduhrchduo,2020-11-19 09:16:13,
IndiaNews_itv,118,Delhi,7 months of indiachina tension quad क तकत स घबरय चन सरहद पर सन क सबस मजबत तयर indianews httpstcojduhrchduo,2020-11-19 09:16:13,
IndiaNews_itv,119,Delhi,7 months of indiachina tension quad क तकत स घबरय चन सरहद पर सन क सबस मजबत तयर indianews httpstcojduhrchduo,2020-11-19 09:16:13,
PunjabKesariCom,120,"New Delhi, India",हद महसगर कषतर क मलबर म अमरक भरतय वमन न कय नसनक यदधभयसindiannavy httpstcojnybl7bvgm,2020-11-19 09:22:00,
lobzang_takpa,121,,abpnews आज स मलबरफज 2 म एयरकरफट करयरस करग एकसरसइज लडक वमन और दसर यदधपत भ करग शरकतneeraj_rajput,2020-11-19 11:53:21,
lobzang_takpa,122,,abpnews उततर अरब सगर म मगलवर स चर दन क लए भरत अमरक जपन और आसटरलय क नसनए यदधभयस करग पहल चरण,2020-11-19 11:53:39,
pune_pro,123,Pune,malabar 2020 phase 2bridgesoffriendship spokespersonmod pibmumbai httpstcoor8khlqzn5,2020-11-19 12:37:08,
ZeeNews,124,India,यह अभयस एकदसर क सचर मडल क समझन म भ मददगर हmalabarexercise indiannavy httpstcosfgij3jmbw,2020-11-19 16:33:05,
ManishSingh8518,125,"मध्य प्रदेश, भारत",zeenews यह अभयस एकदसर क सचर मडल क समझन म भ मददगर हmalabarexercise indiannavy httpstcosfgij3jmbw,2020-11-19 16:34:36,
TejpalRawat14,126,"New Delhi, India",zeenews यह अभयस एकदसर क सचर मडल क समझन म भ मददगर हmalabarexercise indiannavy httpstcosfgij3jmbw,2020-11-19 16:41:28,
hari_singh_go,127,,zeenews यह अभयस एकदसर क सचर मडल क समझन म भ मददगर हmalabarexercise indiannavy httpstcosfgij3jmbw,2020-11-19 16:44:01,
AbhinavSharmaO7,128,🇮🇳,zeenews यह अभयस एकदसर क सचर मडल क समझन म भ मददगर हmalabarexercise indiannavy httpstcosfgij3jmbw,2020-11-19 16:55:23,
SIDDARTHGUPTA7,129,,zeenews यह अभयस एकदसर क सचर मडल क समझन म भ मददगर हmalabarexercise indiannavy httpstcosfgij3jmbw,2020-11-19 17:19:03,
sandeep_mohan92,130,New Delhi,zeenews यह अभयस एकदसर क सचर मडल क समझन म भ मददगर हmalabarexercise indiannavy httpstcosfgij3jmbw,2020-11-19 17:26:12,
IndianPippal,131,,wionews दकषण चन सगर और परव चन सगर म चन क जझरपन और बढत परभव क मकबल करन क लए quad क सद httpstcoaxra9yif7q,2020-11-19 17:52:09,
IndianPippal,132,,wionews दकषण चन सगर और परव चन सगर म चन क जझरपन और बढत परभव क मकबल करन क लए quad क सद httpstcoaxra9yif7q,2020-11-19 17:52:09,
IndianPippal,133,,wionews दकषण चन सगर और परव चन सगर म चन क जझरपन और बढत परभव क मकबल करन क लए quad क सद httpstcoaxra9yif7q,2020-11-19 17:52:09,
IndianPippal,134,,wionews दकषण चन सगर और परव चन सगर म चन क जझरपन और बढत परभव क मकबल करन क लए quad क सद httpstcoaxra9yif7q,2020-11-19 17:52:09,
AnajanaOm,135,,aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-19 17:56:43,
NamoTube,136,www.namonamo.in,malabar exercise with india मलबर नसनक यदधभयस म अब ऑसटरलय भ हग शमल httpstcoao8nuk5nfy httpstcod2kx8lnsv8,2020-11-19 23:27:04,
jpdhar13,137,Akhand Bharat,zeenews यह अभयस एकदसर क सचर मडल क समझन म भ मददगर हmalabarexercise indiannavy httpstcosfgij3jmbw,2020-11-20 02:04:03,
indmilitarygasm,138,"New Delhi, India",malabar phase 2 2020 httpstcodtxnt7indl,2020-11-20 04:51:11,
AmarUjalaNews,139,India,मलबर 2020 यदधभयस आईएनएस वकरमदतय स mig29ks और f18s न भर हकर दख वडयmalabar2020 httpstco8iwzjiiw2j,2020-11-20 05:00:00,
TimesNowHindi,140,"New Delhi, India",malabar2020 क दसर चरण क अभयस क अतम दन इस सनयअभयस क एक वडय समन आय हhttpstcoubgcvpqopg,2020-11-20 05:07:21,
Live_Hindustan,141,New Delhi,अरब सगर और हद महसगर म भरत अमरक japan और australia क बच हए malabar यदधअभयस न china क टशन httpstcoig9ajl3c9t,2020-11-20 05:33:21,
Samarji88407446,142,"सहरसा, भारत",live_hindustan अरब सगर और हद महसगर म भरत अमरक japan और australia क बच हए malabar यदधअभयस न china क टशन ब,2020-11-20 05:49:13,
PunjabKesariCom,143,"New Delhi, India",चन क सथ तनव क बच मलबर म एक सथ गरज भरत और अमरक लडक वमन कय नसनक यदधभयसamerica httpstcofkulidvxga,2020-11-20 05:53:17,
bhn_news,144,"Uttar Pradesh, India",मलबर यदधभयस 2020 एक सथ गरज भरत व अमरक क लडक वमन दख वडय httpstcoampvkmfwhv,2020-11-20 05:59:10,
Basant50457197,145,Jharkhand ranchi ,live_hindustan अरब सगर और हद महसगर म भरत अमरक japan और australia क बच हए malabar यदधअभयस न china क टशन ब,2020-11-20 06:40:23,
